route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,direction_name,wheelchair_accessible
216,Weekday,1269__12032_Timetable_-_2021-10,Taunton,0,12032_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
900,Saturday,126__62906_Timetable_-_2021-10,Oshawa,0,62906_Timetable_-_2021-10,100.0.11903138911_Timetable_-_2021-10,Eastbound,1
216,Weekday,1270__12026_Timetable_-_2021-10,Taunton,0,12026_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
216,Weekday,1271__12029_Timetable_-_2021-10,Ajax Station,1,12029_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
224,Weekday,1273__12029_Timetable_-_2021-10,Taunton,0,12029_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
216,Weekday,1274__12027_Timetable_-_2021-10,Ajax Station,1,12027_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
216,Weekday,1275__12029_Timetable_-_2021-10,Ajax Station,1,12029_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
900,Saturday,127__64901_Timetable_-_2021-10,Scarborough,1,64901_Timetable_-_2021-10,100.0.995817752_Timetable_-_2021-10,Westbound,1
216,Weekday,1280__12026_Timetable_-_2021-10,Taunton,0,12026_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
224,Weekday,1282__12032_Timetable_-_2021-10,Ajax Station,1,12032_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
224,Weekday,1283__12027_Timetable_-_2021-10,Taunton,0,12027_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
216,Weekday,1284__12032_Timetable_-_2021-10,Taunton,0,12032_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
224,Weekday,1288__12032_Timetable_-_2021-10,Ajax Station,1,12032_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
216,Weekday,1289__12029_Timetable_-_2021-10,Ajax Station,1,12029_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
900,Saturday,128__64902_Timetable_-_2021-10,Oshawa,0,64902_Timetable_-_2021-10,100.0.995817755_Timetable_-_2021-10,Eastbound,1
