stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1354:1,1354,Nonquon Northbound @ Mary,,43.931137,-78.87249799999998,,,0,,,1
1355:1,1355,Mary Northbound @ Nonquon,,43.93247800000001,-78.87221,,,0,,,1
1356:1,1356,Mary Northbound @ Taunton,,43.93385593,-78.872776,,,0,,,1
1359:1,1359,Park Southbound @ King,,43.895694,-78.873767,,,0,,,2
1360:1,1360,Park Southbound @ Pine,,43.893793,-78.87290299999998,,,0,,,2
1361:1,1361,Park Southbound @ Elmgrove,,43.891968,-78.872083,,,0,,,2
1362:1,1362,Park Southbound @ Marland,,43.88699031,-78.869855,,,0,,,2
1363:1,1363,Park Northbound @ John,,43.8922679,-78.8719904,,,0,,,2
1364:1,1364,Park Northbound @ King,,43.8946786,-78.873147,,,0,,,2
1371:1,1371,Beatrice Westbound @ Sycamore,,43.929548,-78.869207,,,0,,,1
1372:1,1372,Beatrice Westbound @ Mary,,43.926963,-78.872625,,,0,,,1
1387:1,1387,Northbound @ 227 Ormond,,43.936751,-78.871436,,,0,,,1
1388:1,1388,Ormond Eastbound @ Ritson,,43.937781,-78.870628,,,0,,,1
138:1,138,McQuay Southbound @ Roan,,43.881419,-78.966575,,,0,,,1
139:1,139,McQuay Southbound @ Kennett,,43.879842,-78.96569599999998,,,0,,,1
140:1,140,McQuay Southbound @ Moonstone,,43.878277,-78.963114,,,0,,,1
141:1,141,McQuay Southbound @ Allayden,,43.876649,-78.962215,,,0,,,1
1430:1,1430,King Westbound @ Liberty,,43.910554,-78.680784,,,0,,,2
1431:1,1431,King Westbound @ George,,43.911481,-78.68621,,,0,,,2
1432:1,1432,King Westbound @ Temperance,,43.91215300000001,-78.688526,,,0,,,2
1433:1,1433,King Westbound @ Roenigk,,43.912962,-78.695055,,,0,,,1
1436:1,1436,Highway 2 Westbound @ Boswell,,43.909692,-78.71688,,,0,,,1
1452:1,1452,King Eastbound @ Roenigk,,43.912771,-78.694976,,,0,,,1
1454:1,1454,King Eastbound @ Division,,43.911662,-78.687321,,,0,,,2
1455:1,1455,King Eastbound @ Ontario,,43.911026,-78.684811,,,0,,,2
1456:1,1456,King Eastbound @ Liberty,,43.91041,-78.680907,,,0,,,1
1479:1,1479,Church Eastbound @ Scugog Street,,43.913909,-78.691688,,,0,,,1
1480:1,1480,Church Eastbound @ Temperance,,43.913138,-78.688545,,,0,,,2
1498:1,1498,Simpson Northbound @ King,,43.911329,-78.675014,,,0,,,1
1499:1,1499,Prince Eastbound @ Liberty (Lakeridge Health Bowmanville),,43.908346,-78.678921,,,0,,,1
1504:1,1504,Clarington Boulevard Southbound @ Prince William,,43.908456,-78.70716,,,0,,,1
1508:1,1508,Altona Northbound @ Kingston,,43.808908,-79.1325431,,,0,,,1
1509:1,1509,Altona Northbound @ Brookridge,,43.81012900000001,-79.133048,,,0,,,1
1510:1,1510,Altona Northbound @ Fiddlers,,43.813671,-79.134619,,,0,,,1
1511:1,1511,Altona Northbound @ Rougemount,,43.8153103,-79.1352275,,,0,,,1
1512:1,1512,Altona Northbound @ Sheppard,,43.817616,-79.136396,,,0,,,1
1513:1,1513,Altona Northbound @ Granby,,43.8202247,-79.137773,,,0,,,1
1518:1,1518,Pine Grove Southbound @ Sandhurst,,43.826274,-79.14505,,,0,,,1
1519:1,1519,Pine Grove Westbound @ Nordane,,43.825165,-79.145977,,,0,,,1
1520:1,1520,Pine Grove Westbound @ Rockwood,,43.824613,-79.148501,,,0,,,1
1521:1,1521,Pine Grove Southbound @ Valley Ridge,,43.82257,-79.149972,,,0,,,1
1522:1,1522,Valley Ridge Southbound @ Copley,,43.82160600000001,-79.15148,,,0,,,1
1523:1,1523,Valley Ridge Southbound @ Thicket,,43.82025500000001,-79.15088799999998,,,0,,,1
1524:1,1524,Valley Ridge Southbound @ White Pine,,43.818731,-79.150199,,,0,,,1
1525:1,1525,Hogarth Eastbound @ Rockwood,,43.81810200000001,-79.145893,,,0,,,1
1541:1,1541,Altona Southbound @ Littleford,,43.816015,-79.1358222,,,0,,,1
1542:1,1542,Altona Southbound @ Fiddlers,,43.813513,-79.134657,,,0,,,1
1543:1,1543,Altona Southbound @ Valley Gate,,43.8108077,-79.1336181,,,0,,,1
1544:1,1544,Altona Southbound @ Kingston,,43.80878135,-79.132761,,,0,,,1
1581:1,1581,Strouds Lane Eastbound @ Shadybrook,,43.8301782,-79.1178386,,,0,,,1
1582:1,1582,Strouds Lane Eastbound @ Spruce Hill,,43.83172131,-79.11490499999998,,,0,,,1
1583:1,1583,Strouds Lane Eastbound @ Fairport,,43.832659,-79.110984,,,0,,,1
1584:1,1584,Strouds Lane Westbound @ Cricket Lane,,43.830842,-79.116853,,,0,,,1
1587:1,1587,Kingston Westbound @ Audley,,43.868228,-78.995249,,,0,,,2
1588:1,1588,Kingston Westbound @ Alexanders Crossing,,43.86702,-79.00077,,,0,,,1
1590:1,1590,Kingston Westbound @ Wicks,,43.8643554,-79.0125542,,,0,,,1
1591:1,1591,Kingston Westbound @ Salem,,43.8634084,-79.0168413,,,0,,,1
1593:1,1593,Westbound @ 84 Kingston,,43.862111,-79.022563,,,0,,,1
1594:1,1594,Kingston Westbound @ Harwood,,43.8611712,-79.0267418,,,0,,,1
1595:1,1595,Westbound @ 132 Kingston,,43.859995,-79.031718,,,0,,,1
1596:1,1596,Kingston Westbound @ Chapman,,43.859254,-79.035043,,,0,,,1
1597:1,1597,Kingston Westbound @ Westney Heights Plaza,,43.85832,-79.03932,,,0,,,1
1598:1,1598,Kingston Westbound @ Westney,,43.85744,-79.043041,,,0,,,1
1599:1,1599,Kingston Westbound @ Mill,,43.856298,-79.047905,,,0,,,2
1600:1,1600,Kingston Westbound @ Church,,43.85465700000001,-79.05529,,,0,,,2
1601:1,1601,Kingston Westbound @ Elizabeth,,43.853329,-79.060678,,,0,,,1
1602:1,1602,Kingston Westbound @ Notion,,43.852381,-79.064752,,,0,,,1
1603:1,1603,Kingston Westbound @ Bainbridge,,43.8501483,-79.0710031,,,0,,,1
1604:1,1604,Kingston Westbound @ Brock Road,,43.84772,-79.07452499999998,,,0,,,1
1607:1,1607,Kingston Westbound @ Valley Farm,,43.84172800000001,-79.083084,,,0,,,1
1608:1,1608,Kingston Westbound @ Glenanna,,43.83815,-79.08748,,,0,,,1
1609:1,1609,Kingston Westbound @ Liverpool,,43.83548,-79.09104,,,0,,,1
1610:1,1610,Kingston Westbound @ Walnut,,43.83097019,-79.09672757,,,0,,,1
1611:1,1611,Kingston Westbound @ Dixie,,43.82906,-79.098675,,,0,,,1
1612:1,1612,Kingston Westbound @ Fairport,,43.823716,-79.106421,,,0,,,1
1613:1,1613,Westbound @ 804 Kingston,,43.821703,-79.111949,,,0,,,1
1615:1,1615,Kingston Westbound @ Steeple Hill,,43.817215,-79.118076,,,0,,,1
1616:1,1616,Kingston Westbound @ Rosebank,,43.81332,-79.123324,,,0,,,1
1617:1,1617,Kingston Westbound @ Rougemount,,43.809718,-79.129028,,,0,,,1
1645:1,1645,West Shore Southbound @ Vistula,,43.82025,-79.105278,,,0,,,1
1662:1,1662,West Shore Southbound @ Cecylia,,43.8189771,-79.1047516,,,0,,,1
1663:1,1663,West Shore Southbound @ Samford,,43.817692,-79.104211,,,0,,,1
1664:1,1664,West Shore Southbound @ Breezy,,43.815805,-79.10339399999998,,,0,,,2
166:1,166,Brock Street Northbound @ Arthur,,43.86900700000001,-78.937411,,,0,,,2
1673:1,1673,West Shore Northbound @ Breezy,,43.815597,-79.103191,,,0,,,1
1674:1,1674,West Shore Northbound @ Samford,,43.817582,-79.104031,,,0,,,1
